Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-bha-test-ig.json	5072	-	0	0	0	0	0	0	8	66	0	0	0	0	0	0	0	0	0	0	448	71	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-bha-action-type-cs.json	574	15	0	0	0	0	1	0	0	16	0	0	1	0	0	0	0	0	0	0	62	274	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-bha-ethnicity-cs.json	776	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	95	47	0	0	0	0	0	1
fsh-generated/resources/Patient-BHAPatientExample.json	1083	8	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	81	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-bha-action-type.json	1455	3	0	7	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	452	251	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-bha-encounter.json	3528	3	0	47	0	0	0	0	0	19	0	0	0	0	0	0	0	2	0	0	3149	423	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-bha-ethnicity.json	1434	3	0	18	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	475	118	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-bha-organization.json	980	2	0	24	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1185	183	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-bha-patient.json	3863	3	0	41	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	3564	402	0	0	0	6	0	3
fsh-generated/resources/StructureDefinition-bha-referral-source.json	1277	3	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	438	135	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-bha-update-type.json	1251	2	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	425	115	0	0	0	1	0	0
fsh-generated/resources/ValueSet-bha-action-type-vs.json	440	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	32	149	0	0	0	0	0	0
fsh-generated/resources/ValueSet-bha-ethnicity-vs.json	424	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	29	49	0	0	0	0	0	0
